valor;nfotos;cilindradas;cor;km;cambio;ano;anuncio;cidade;estado
73200;6;3.5;Preto;103000;Automática;2012;Veículo de concessionária;Barueri;SP
79900;8;3.2;Preto;105273;Automática;2009;Veículo de concessionária;Sorocaba;SP
80000;8;3.5;Branco;94000;Automática;2011;Veículo de concessionária;São Paulo;SP
82900;7;3.2;Prata;1e+05;Automática;2010;Veículo de concessionária;Salvador;BA
84000;8;3.5;Branco;44000;Automática;2011;Veículo de concessionária;São Paulo;SP
87900;6;3.5;Prata;84232;Automática;2011;Veículo de concessionária;Curitiba;PR
95500;8;3.2;Preto;90000;Automática;2011;Veículo de concessionária;Fortaleza;CE
95800;8;3.5;Preto;45000;Automática;2012;Veículo de concessionária;São Bernardo do Campo;SP
95900;8;3.2;Prata;90000;Automática;2010;Veículo de concessionária;Salvador;BA
97900;8;3.5;Cinza;29730;Automática;2013;Veículo de concessionária;São Paulo;SP
99800;8;3.2;Prata;66000;Manual;2012;Veículo de concessionária;São José;SC
99990;6;3.5;Prata;42000;Automática;2012;Veículo de concessionária;Limeira;SP
99990;8;3.2;Preto;39600;Automática;2013;Veículo de concessionária;São Paulo;SP
1e+05;8;3.2;Prata;84000;Automática Sequencial;2011;Veículo de concessionária;Patos de Minas;MG
103900;8;3.2;Branco;24882;Automática;2013;Veículo de concessionária;São Paulo;SP
103990;8;3.5;Prata;41363;Automática;2012;Veículo de concessionária;São Paulo;SP
104800;8;3.2;Preto;87000;Automática Sequencial;2010;Veículo de concessionária;São José;SC
104900;8;3.2;Branco;90000;Automática;2012;Veículo de concessionária;Salvador;BA
105000;8;3.2;Branco;170000;Automática;2012;Veículo de concessionária;Patos de Minas;MG
105990;8;3.2;Branco;75618;Automática;2012;Veículo de concessionária;São Paulo;SP
109990;8;3.2;Prata;52222;Automática;2011;Veículo de concessionária;Juiz de Fora;MG
115840;8;3.5;Prata;27200;Automática;2011;Veículo de concessionária;São Paulo;SP
117800;8;3.2;Preto;70000;Automática;2012;Veículo de concessionária;São José;SC
127840;8;3.5;Marrom;12500;Automática;2014;Veículo de concessionária;São Paulo;SP
135900;6;3.5;Prata;6002;Automática;2014;Veículo de concessionária;Curitiba;PR
155490;8;3.5;Preto;0;Automática;2015;Veículo de concessionária;Americana;SP
155490;6;3.2;Branco;0;Automática;2015;Veículo de concessionária;Americana;SP
155490;8;3.2;Cinza;0;Automática;2015;Veículo de concessionária;Rio de Janeiro;RJ
155900;8;3.2;Branco;23500;Automática;2014;Veículo de concessionária;Curitiba;PR
181990;8;3.2;Preto;0;Automática;2015;Veículo de concessionária;Americana;SP
181990;8;3.2;Prata;0;Automática;2015;Veículo de concessionária;Rio de Janeiro;RJ
183990;8;3.2;Branco;0;Automática;2015;Veículo de concessionária;Americana;SP
183990;6;3.2;Preto;0;Automática;2015;Veículo de concessionária;Rio de Janeiro;RJ
75000;8;3.5;Prata;67000;Automática;2011;Veículo de particular;Caxias do Sul;RS
80000;6;3.2;Prata;63000;Automática;2009;Veículo de particular;Rio de Janeiro;RJ
85000;8;3.2;Preto;115000;Manual;2009;Veículo de particular;Fraiburgo;SC
89000;7;3.2;Preto;1e+05;Automática;2009;Veículo de particular;Santa Cruz;RN
94900;8;3.2;Preto;65000;Automática;2009;Veículo de particular;São Paulo;SP
99800;7;3.2;Preto;69000;Automática;2010;Veículo de particular;São Caetano do Sul;SP
105000;6;3.2;Prata;67707;Automática;2011;Veículo de particular;Vitória da Conquista;BA
106000;8;3.2;Prata;16500;Automática Sequencial;2013;Veículo de particular;São Bernardo do Campo;SP
108000;7;3.2;Preto;55000;Automática;2011;Veículo de particular;Contagem;MG
150000;8;3.2;Preto;13000;Automática Sequencial;2014;Veículo de particular;Cotia;SP
106900;8;3.2;Prata;NA;Automática;2011;Veículo de loja;Fortaleza;CE
119900;8;3.2;Prata;NA;Automática;2013;Veículo de loja;Cocal do Sul;SC
94900;7;3.5;Branco;NA;Automática;2012;Veículo de concessionária;Uberaba;MG
110000;8;3.2;Preto;NA;Automática;2013;Veículo de particular;São José do Rio Preto;SP
99900;4;3.2;Preto;74000;Automática;2012;Veículo de loja;Sumaré;SP
110000;5;3.2;Prata;126000;Automática;2011;Veículo de loja;São Paulo;SP
119900;5;3.2;Preto;46000;Automática;2012;Veículo de loja;Ponta Grossa;PR
151490;5;3.2;Branco;0;Automática;2015;Veículo de loja;Sinop;MT
90000;5;3.2;Preto;93488;Automática;2010;Veículo de concessionária;Teresina;PI
83900;5;3.5;Branco;120000;Automática;2011;Veículo de concessionária;Jundiaí;SP
1e+05;5;3.2;Cinza;108025;Automática;2011;Veículo de concessionária;Teresina;PI
94990;5;3.2;Prata;82218;Automática;2010;Veículo de concessionária;Limeira;SP
115000;5;3.2;Prata;35853;Automática;2012;Veículo de concessionária;Maceió;AL
149900;4;3.2;Preto;29000;Automática;2014;Veículo de concessionária;Jundiaí;SP
155490;4;3.5;Prata;0;Automática;2015;Veículo de concessionária;Rio de Janeiro;RJ
77500;4;3.2;Prata;155000;Automática;2009;Veículo de particular;São Bernardo do Campo;SP
104700;5;3.5;Prata;12000;Automática;2012;Veículo de particular;São Paulo;SP
108500;4;3.2;Prata;43000;Automática;2012;Veículo de particular;São Paulo;SP
125990;5;3.2;Branco;107000;Automática;2013;Veículo de particular;Brasília;DF
127900;4;3.2;Prata;19500;Automática;2013;Veículo de particular;Campinas;SP
105000;5;3.2;Branco;NA;Automática;2012;Veículo de loja;Lucas do Rio Verde;MT
134800;3;3.2;Branco;NA;Automática;2014;Veículo de loja;Goiânia;GO
109990;5;3.2;Prata;NA;Automática;2012;Veículo de concessionária;Passos;MG
146000;1;3.2;Prata;51000;Automática;2014;Veículo de concessionária;Franca;SP
83000;1;3.2;Preto;1e+05;Automática;2009;Veículo de particular;São Paulo;SP
104990;0;3.2;Branco;120633;Automática;2011;Veículo de loja;Americana;SP
109900;0;3.2;Prata;40000;Automática;2013;Veículo de loja;Rio de Janeiro;RJ
154990;0;3.2;Branco;7000;Automática;2014;Veículo de concessionária;Limeira;SP
104900;0;3.2;Prata;100;Automática;2011;Veículo de concessionária;Joinville;SC
144990;0;3.2;Branco;0;Automática;2015;Veículo de concessionária;Recife;PE
126800;0;3.2;Preto;39500;Automática;2013;Veículo de particular;Rio de Janeiro;RJ
117000;0;3.2;Preto;35000;Automática;2013;Veículo de concessionária;São Paulo;SP
109000;0;3.2;Cinza;NA;Automática;2012;Veículo de loja;São José;SC
135000;0;3.2;Prata;NA;Automática;2013;Veículo de loja;Mossoró;RN
77900;6;3.5;Prata;61773;Automática;2011;Veículo de particular;São Paulo;SP
76000;6;3.2;Preto;149000;Automática;2009;Veículo de particular;Contagem;MG
79800;7;3.2;Branco;90000;Manual;2012;Veículo de particular;Uberaba;MG
85000;8;3.5;Branco;37500;Automática;2011;Veículo de particular;São Paulo;SP
89900;7;3.5;Prata;60000;Automática;2011;Veículo de particular;São Paulo;SP
91000;8;3.2;Preto;69000;Automática;2011;Veículo de particular;Natal;RN
94700;7;3.5;Branco;31000;Automática;2013;Veículo de particular;São Paulo;SP
95000;8;3.2;Prata;103000;Automática;2010;Veículo de particular;Belo Horizonte;MG
95000;8;3.2;Prata;100;Automática;2010;Veículo de particular;Belo Horizonte;MG
96000;8;3.2;Preto;64278;Automática;2011;Veículo de particular;Natal;RN
99000;8;3.5;Branco;52700;Automática;2012;Veículo de particular;São José do Rio Preto;SP
105000;6;3.2;Prata;21000;Automática;2013;Veículo de particular;São Paulo;SP
109990;6;3.2;Preto;78000;Automática;2011;Veículo de particular;Florianópolis;SC
116000;8;3.2;Prata;125000;Automática;2012;Veículo de particular;Rio de Janeiro;RJ
116000;8;3.2;Branco;23000;Automática;2013;Veículo de particular;Rio de Janeiro;RJ
119900;8;3.2;Preto;31700;Automática;2012;Veículo de particular;Rio de Janeiro;RJ
75900;8;3.5;Prata;98000;Automática;2011;Veículo de concessionária;Jundiaí;SP
78000;6;3.2;Branco;86959;Automática;2010;Veículo de concessionária;Maceió;AL
79990;8;3.2;Cinza;133700;Automática;2009;Veículo de concessionária;São Paulo;SP
87990;8;3.2;Preto;92375;Automática;2009;Veículo de concessionária;Porto Alegre;RS
89900;8;3.5;Branco;42000;Automática;2012;Veículo de concessionária;Rio de Janeiro;RJ
92800;6;3.2;Prata;110000;Automática;2010;Veículo de concessionária;Guarulhos;SP
94900;8;3.5;Prata;35500;Automática;2012;Veículo de concessionária;Maringá;PR
96990;8;3.2;Prata;73236;Automática;2009;Veículo de concessionária;São Paulo;SP
1e+05;6;3.2;Cinza;62000;Automática;2011;Veículo de concessionária;Fortaleza;CE
105000;8;3.2;Prata;52000;Automática;2011;Veículo de concessionária;Fortaleza;CE
105900;7;3.2;Preto;55000;Automática;2012;Veículo de concessionária;Salvador;BA
108900;7;3.2;Branco;100;Automática;2012;Veículo de concessionária;Uberlândia;MG
